time, intensity
1645341585,100000.0
1645341586,100000.0
1645341586,-200000.0
1645341586,-2400000.0
1645341586,-5600000.0
1645341586,-9500000.0
1645341586,-13700000.0
1645341586,-19000000.0
1645341586,-23700000.0
1645341586,-29500000.0
1645341586,-35100000.0
1645341587,-41700000.0
1645341587,-47500000.0
1645341587,-54000000.0
1645341587,-60100000.0
1645341587,-66500000.0
1645341587,-73100000.0
1645341587,-84400000.0
1645341587,-90000000.0
1645341587,-94800000.0
1645341587,-100200000.0
1645341588,-102200000.0
1645341588,-102200000.0
1645341588,-102200000.0
1645341588,-102200000.0
1645341588,-102200000.0
1645341588,-102200000.0
1645341588,-102200000.0
1645341588,-101500000.0
1645341588,-97900000.0
1645341588,-93500000.0
1645341589,-88800000.0
1645341589,-82600000.0
1645341589,-78000000.0
1645341589,-69100000.0
1645341589,-59700000.0
1645341589,-49400000.0
1645341589,-39600000.0
1645341589,-30000000.0
1645341589,-21000000.0
1645341589,-11900000.0
1645341590,-3800000.0
1645341590,100000.0
1645341590,100000.0
1645341590,100000.0
1645341590,100000.0
1645341590,100000.0
1645341590,100000.0
1645341590,100000.0
1645341590,100000.0
1645341590,100000.0
1645341591,100000.0
1645341591,100000.0
1645341591,100000.0
1645341591,100000.0
1645341591,100000.0
1645341591,100000.0
1645341591,100000.0
1645341591,-700000.0
1645341591,-2800000.0
1645341591,-6000000.0
1645341592,-9600000.0
1645341592,-13500000.0
1645341592,-18500000.0
1645341592,-24000000.0
1645341592,-30200000.0
1645341592,-37700000.0
1645341592,-44500000.0
1645341592,-52300000.0
1645341592,-59700000.0
1645341592,-67700000.0
1645341593,-75200000.0
1645341593,-85000000.0
1645341593,-94800000.0
1645341593,-102200000.0
1645341593,-102200000.0
1645341593,-102200000.0
1645341593,-102200000.0
1645341593,-102200000.0
1645341593,-102200000.0
1645341593,-102200000.0
1645341594,-102200000.0
1645341594,-102200000.0
1645341594,-102200000.0
1645341594,-99400000.0
1645341594,-93900000.0
1645341594,-88500000.0
1645341594,-80600000.0
1645341594,-71400000.0
1645341594,-62700000.0
1645341594,-56300000.0
1645341595,-44400000.0
1645341595,-32800000.0
1645341595,-20000000.0
1645341595,-8300000.0
1645341595,100000.0
1645341595,100000.0
1645341595,100000.0
1645341595,100000.0
1645341595,100000.0
1645341595,100000.0
1645341596,100000.0
1645341596,100000.0
1645341596,100000.0
1645341596,100000.0
1645341596,100000.0
1645341596,100000.0
1645341596,100000.0
1645341596,100000.0
1645341596,100000.0
1645341596,100000.0
1645341597,100000.0
1645341597,100000.0
1645341597,100000.0
1645341597,0.0
1645341597,-400000.0
1645341597,-3200000.0
1645341597,-6000000.0
1645341597,-10400000.0
1645341597,-16100000.0
1645341597,-21700000.0
1645341598,-27800000.0
1645341598,-35300000.0
1645341598,-42200000.0
1645341598,-49600000.0
1645341598,-58700000.0
1645341598,-66900000.0
1645341598,-76100000.0
1645341598,-83300000.0
1645341598,-92200000.0
1645341598,-102200000.0
1645341599,-102200000.0
1645341599,-102200000.0
1645341599,-102200000.0
1645341599,-102200000.0
1645341599,-102200000.0
1645341599,-102200000.0
1645341599,-102200000.0
1645341599,-102200000.0
1645341599,-102200000.0
1645341599,-102200000.0
1645341600,-102100000.0
1645341600,-98100000.0
1645341600,-91400000.0
1645341600,-83300000.0
1645341600,-75800000.0
1645341600,-67100000.0
1645341600,-57700000.0
1645341600,-46700000.0
1645341600,-36200000.0
1645341600,-24100000.0
1645341601,-16000000.0
1645341601,-5300000.0
1645341601,100000.0
1645341601,100000.0
1645341601,100000.0
1645341601,100000.0
1645341601,100000.0
1645341601,100000.0
1645341601,100000.0
1645341601,100000.0
1645341602,100000.0
1645341602,100000.0
1645341602,100000.0
1645341602,100000.0
1645341602,100000.0
1645341602,100000.0
1645341602,100000.0
1645341602,100000.0
1645341602,100000.0
1645341602,100000.0
1645341603,100000.0
1645341603,-600000.0
1645341603,-2100000.0
1645341603,-5600000.0
1645341603,-8000000.0
1645341603,-12000000.0
1645341603,-17100000.0
1645341603,-22100000.0
1645341603,-27600000.0
1645341603,-35100000.0
1645341604,-41700000.0
1645341604,-46800000.0
1645341604,-53700000.0
1645341604,-62400000.0
1645341604,-71100000.0
1645341604,-78800000.0
1645341604,-85700000.0
1645341604,-94200000.0
1645341604,-102200000.0
1645341604,-102200000.0
1645341605,-102200000.0
1645341605,-102200000.0
